Region;nombre_region;provincia;Nombre_provincia;Comuna;nombre_comuna;"Sexo (1=hombres;2=mujeres)";edad;a2002;a2003;a2004;a2005;a2006;a2007;a2008;a2009;a2010;a2011;a2012;a2013;a2014;a2015;a2016;a2017;a2018;a2019;a2020
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;0;1.721;1.721;1.675;1.645;1.646;1.677;1.720;1.754;1.757;1.736;1.708;1.696;1.705;1.712;1.709;1.698;1.685;1.671;1.656
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;1;1.738;1.725;1.725;1.679;1.650;1.652;1.684;1.728;1.761;1.766;1.746;1.718;1.706;1.716;1.723;1.720;1.708;1.696;1.682
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;2;1.793;1.750;1.737;1.738;1.692;1.664;1.667;1.699;1.743;1.778;1.783;1.763;1.735;1.723;1.733;1.740;1.737;1.725;1.712
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;3;1.990;1.938;1.891;1.878;1.879;1.831;1.801;1.804;1.838;1.887;1.925;1.931;1.909;1.879;1.866;1.876;1.883;1.880;1.867
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;4;2.169;2.112;2.058;2.009;1.995;1.998;1.947;1.916;1.920;1.957;2.009;2.050;2.057;2.034;2.002;1.988;1.999;2.006;2.003
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;5;1.894;1.845;1.797;1.751;1.709;1.698;1.701;1.658;1.631;1.635;1.667;1.712;1.746;1.752;1.732;1.705;1.692;1.701;1.707
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;6;2.027;1.978;1.927;1.877;1.829;1.787;1.777;1.780;1.735;1.707;1.712;1.746;1.793;1.830;1.836;1.815;1.786;1.773;1.782
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;7;1.897;1.855;1.811;1.765;1.720;1.676;1.638;1.629;1.632;1.591;1.567;1.571;1.602;1.646;1.680;1.685;1.666;1.639;1.628
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;8;2.081;2.038;1.994;1.946;1.897;1.849;1.803;1.762;1.752;1.756;1.713;1.687;1.691;1.725;1.772;1.808;1.813;1.793;1.764
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;9;2.171;2.130;2.087;2.041;1.993;1.943;1.895;1.848;1.806;1.796;1.801;1.757;1.730;1.735;1.770;1.818;1.854;1.860;1.839
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;10;2.108;2.066;2.027;1.986;1.943;1.897;1.851;1.805;1.760;1.720;1.711;1.716;1.674;1.648;1.653;1.686;1.731;1.766;1.771
13;Región Metropolitana;131;Santiago;13.112;La Pintana;1;11;2.051;2.020;1.980;1.943;1.904;1.863;1.819;1.775;1.731;1.688;1.651;1.642;1.647;1.606;1.582;1.586;1.617;1.661;1.694
